,YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,UnknownDose,Region,TargetGroup,Vaccine,Population
0,2020-W53,AT,8901064.0,0.0,0.0,0,,0,0,0,AT,ALL,MOD,8901064
1,2020-W53,AT,8901064.0,0.0,0.0,0,,0,0,0,AT,ALL,JANSS,8901064
2,2020-W53,AT,8901064.0,0.0,0.0,0,,0,0,0,AT,ALL,UNK,8901064
3,2020-W53,AT,8901064.0,61425.0,0.0,5243,,0,0,0,AT,ALL,COM,8901064
4,2020-W53,AT,8901064.0,0.0,0.0,0,,0,0,0,AT,ALL,AZ,8901064
5,2020-W53,AT,435835.0,0.0,0.0,0,,0,0,0,AT,Age0_4,UNK,8901064
6,2020-W53,AT,435835.0,0.0,0.0,0,,0,0,0,AT,Age0_4,AZ,8901064
7,2020-W53,AT,435835.0,0.0,0.0,0,,0,0,0,AT,Age0_4,JANSS,8901064
8,2020-W53,AT,435835.0,61425.0,0.0,1,,0,0,0,AT,Age0_4,COM,8901064
9,2020-W53,AT,435835.0,0.0,0.0,0,,0,0,0,AT,Age0_4,MOD,8901064
10,2020-W53,AT,421998.0,0.0,0.0,0,,0,0,0,AT,Age10_14,UNK,8901064
11,2020-W53,AT,421998.0,0.0,0.0,0,,0,0,0,AT,Age10_14,JANSS,8901064
12,2020-W53,AT,421998.0,61425.0,0.0,0,,0,0,0,AT,Age10_14,COM,8901064
13,2020-W53,AT,421998.0,0.0,0.0,0,,0,0,0,AT,Age10_14,AZ,8901064
14,2020-W53,AT,421998.0,0.0,0.0,0,,0,0,0,AT,Age10_14,MOD,8901064
15,2020-W53,AT,259561.0,0.0,0.0,0,,0,0,0,AT,Age15_17,MOD,8901064
16,2020-W53,AT,259561.0,61425.0,0.0,5,,0,0,0,AT,Age15_17,COM,8901064
17,2020-W53,AT,259561.0,0.0,0.0,0,,0,0,0,AT,Age15_17,UNK,8901064
18,2020-W53,AT,259561.0,0.0,0.0,0,,0,0,0,AT,Age15_17,JANSS,8901064
19,2020-W53,AT,259561.0,0.0,0.0,0,,0,0,0,AT,Age15_17,AZ,8901064
20,2020-W53,AT,696064.0,0.0,0.0,0,,0,0,0,AT,Age18_24,UNK,8901064
21,2020-W53,AT,696064.0,0.0,0.0,0,,0,0,0,AT,Age18_24,AZ,8901064
22,2020-W53,AT,696064.0,61425.0,0.0,87,,0,0,0,AT,Age18_24,COM,8901064
